"Sample","Biomol","Species","Site","Slide","Type","SdmWtr","Family"
"AcanQuad_1","20","AcanQuad","F",529804,"F","F1","Tetraodontiform"
"ArioFeli_2","16","ArioFeli","F",529804,"F","F2","Siluriform"
"ChaeFabe_1","8","ChaeFabe","F",529804,"F","F3","Perciform"
"ChilShoe_1","13","ChilShoe","F",529810,"F","F4","Tetraodontiform"
"ChilShoe_2","14","ChilShoe","F",529810,"F","F5","Tetraodontiform"
"GimnMicr_1","18","GimnMicr","F",529810,"F","F6","Rajiform"
"GimnMicr_2","19","GimnMicr","F",529810,"F","F7","Rajiform"
"HaemBona","7","HaemBona","F",529810,"F","F8","Perciform"
"OpsaBeta_1","22","OpsaBeta","F",529804,"F","F9","Batrachoidiform"
"OrthChry_2","39","OrthChry","F",529804,"F","F10","Perciform"
"PrioPunc_1","35","PrioPunc","F",529810,"F","F11","Scorpaeniform"
"SphoSpen_1","21","SphoSpen","F",529804,"F","F12","Tetraodontiform"
"SphoTest_1","10","SphoTest","F",529810,"F","F13","Tetraodontiform"
"SphoTest_2","11","SphoTest","F",529810,"F","F14","Tetraodontiform"
"SphoTest_3","12","SphoTest","F",529810,"F","F15","Tetraodontiform"
"SynoFoet_2","43","SynoFoet","F",529804,"F","F16","Aulopiform"
"SynoFoet_3","44","SynoFoet","F",529804,"F","F17","Aulopiform"
"UrobJama_1","29","UrobJama","F",529810,"F","F18","Rajiform"
"Sdmt_A","Sa","Sdmt","A",529810,"S","Sdmt",NA
"Sdmt_B","Sb","Sdmt","B",529810,"S","Sdmt",NA
"Sdmt_C","Sc","Sdmt","C",529804,"S","Sdmt",NA
"Wtr_A","WA","Wtr","A",529804,"W","Wtr",NA
"Wtr_B","WB","Wtr","B",529804,"W","Wtr",NA
"Wtr_C","WC","Wtr","C",529804,"W","Wtr",NA
