"","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1"
"Antibiotic resistance",0.989657853077793,0.997894036337925,1.19015570065294,1.0387630989326,1.11577096936213,1.10281653609846,0.981878453038674,1.09707089724992,0.85263668225479,0.90306546684159,0.919484838965982,1.19351611347542
"Bioleaching",0.692630389788418,0.953179344822879,0.558078191238813,0.521880424426724,0,0.871556993510892,0,0.214345674009321,2.20948461225147,0.577442944530126,0.692931533436152,0.661008577390918
"Carbon cycling",0.998055444481109,0.96413490629765,0.961385354118736,0.888451689678257,0.881606527463925,1.17286329762058,0.746487451433372,0.938322215488875,1.01712326992036,0.842607073106231,1.13049782308419,0.90560188044774
"Energy process",1.02999974871696,0.778721202291297,0.925438419673453,0.744441403653789,0.959555965099202,1.0443223931115,0.844409249287298,1.05485637131638,1.01305954267786,0.988438920570416,1.03786086659894,1.13148253158711
"Metal Resistance",1.04621741048532,1.09606030887654,1.09655475601009,1.1365189288716,1.15652259422939,1.08743871050881,1.2923681052976,1.06343604567668,1.1551130602937,1.21969941375809,1.09772947238228,1.12670922464869
"Nitrogen",1.06185560067848,0.92576496602236,0.992602705721733,0.97093379694863,0.805684014384523,0.989596337102687,1.05562509973581,1.18093638690254,0.922437005621964,0.760774091620614,0.921228263671508,1.06087897657217
"Organic Remediation",1.15841092668185,1.2672040732729,1.2709104824931,1.32481321450979,1.35432931725133,1.26740796646293,1.24146854081372,1.11522091007435,1.24334342375431,1.45954240984135,1.21691717807551,1.34311951212111
"Other",0.932634873691846,0.799873703659456,0.638031034345207,0.721869705105094,0.987428981724725,0.679041947204011,0.835516830690152,0.671628985564089,0.908834578173018,0.684620814445108,0.723742003841972,0.470218124469573
"Phosphorus",0.984933393724253,0.925943540405994,0.894517577822518,0.886544741438128,1.40075554768911,0.601775212044233,1.51379897785349,1.02188478486386,1.4529149238996,0.949288656680702,0.911317110413474,1.13013323384928
"Stress",0.871349500104617,0.893537843299992,0.868144348781828,0.873337907543432,0.8984448414747,0.780606825475836,0.860393059953419,0.904317029981071,0.833228122688226,0.796192167700726,0.845188608790001,0.796124429724913
"Sulphur",1.03150905581989,1.04101291445129,0.743847312908086,0.828537233672433,0.765100093276889,0.904557383541434,0.841610102604578,0.9294628435034,0.695572030260487,0.820968606219627,0.820968606219627,0.695434585804574
"Virulence",0.853583539694795,0.816462559038684,0.975058048966875,0.976943956492315,0.699579276203912,0.794010118433557,0.902923652487183,0.869371639329753,0.925695576081155,1.40524185046177,1.02330432187473,1.00640853302597
